Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
West Gear,1185732,11-04-2021 00:00,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00,250,"$5,000.00","$2,000.00",In-store
Amazon,1185732,22-02-2021 00:00,Midwest,Ohio,Columbus,Women's Street Footwear,$30.00,250,"$7,500.00","$3,000.00",Online
Amazon,1185732,21-03-2021 00:00,Southeast,Kentucky,Louisville,Women's Street Footwear,$35.00,250,"$8,750.00","$3,500.00",Online
Walmart,1197831,21-02-2021 00:00,South,Arkansas,Little Rock,Women's Athletic Footwear,$20.00,250,"$5,000.00","$2,000.00",Online
Walmart,1197831,19-03-2021 00:00,South,Arkansas,Little Rock,Men's Apparel,$35.00,250,"$8,750.00","$3,063.00",Online
West Gear,1197831,21-02-2021 00:00,South,Oklahoma,Oklahoma City,Men's Apparel,$35.00,250,"$8,750.00","$3,063.00",Online
West Gear,1197831,19-03-2021 00:00,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$20.00,250,"$5,000.00","$1,750.00",Online
West Gear,1197831,19-09-2021 00:00,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,$15.00,250,"$3,750.00","$1,500.00",Online
West Gear,1197831,19-09-2021 00:00,South,Oklahoma,Oklahoma City,Men's Apparel,$25.00,250,"$6,250.00","$2,188.00",Online
Kohl's,1197831,16-01-2021 00:00,South,Oklahoma,Oklahoma City,Men's Apparel,$35.00,250,"$8,750.00","$3,063.00",Online
Kohl's,1197831,14-02-2021 00:00,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$25.00,250,"$6,250.00","$2,188.00",Online
Kohl's,1197831,12-03-2021 00:00,Midwest,Kansas,Wichita,Women's Street Footwear,$10.00,250,"$2,500.00",$875.00,Online
Kohl's,1197831,12-03-2021 00:00,Midwest,Kansas,Wichita,Women's Apparel,$25.00,250,"$6,250.00","$2,188.00",Online
Kohl's,1197831,12-05-2021 00:00,Midwest,Kansas,Wichita,Women's Street Footwear,$35.00,250,"$8,750.00","$3,063.00",Online
Kohl's,1197831,12-09-2021 00:00,Midwest,Kansas,Wichita,Women's Street Footwear,$15.00,250,"$3,750.00","$1,313.00",Online
Sports Direct,1185732,09-06-2021 00:00,Midwest,North Dakota,Fargo,Men's Athletic Footwear,$35.00,250,"$8,750.00","$2,625.00",In-store
Foot Locker,1185732,06-01-2021 00:00,Midwest,North Dakota,Fargo,Men's Athletic Footwear,$30.00,250,"$7,500.00","$2,625.00",In-store
Foot Locker,1185732,06-01-2021 00:00,Midwest,North Dakota,Fargo,Women's Street Footwear,$20.00,250,"$5,000.00","$1,500.00",In-store
Foot Locker,1185732,06-01-2021 00:00,Midwest,North Dakota,Fargo,Women's Apparel,$30.00,250,"$7,500.00","$3,000.00",In-store
Foot Locker,1185732,06-02-2021 00:00,Midwest,Iowa,Des Moines,Women's Apparel,$15.00,250,"$3,750.00","$1,500.00",In-store
Foot Locker,1185732,05-03-2021 00:00,Midwest,Iowa,Des Moines,Women's Apparel,$20.00,250,"$5,000.00","$2,000.00",In-store
Foot Locker,1185732,06-10-2021 00:00,Midwest,Iowa,Des Moines,Men's Athletic Footwear,$35.00,250,"$8,750.00","$3,063.00",In-store
West Gear,1185732,03-01-2021 00:00,Midwest,Iowa,Des Moines,Men's Athletic Footwear,$30.00,250,"$7,500.00","$2,625.00",In-store
West Gear,1185732,03-01-2021 00:00,Midwest,Iowa,Des Moines,Women's Street Footwear,$20.00,250,"$5,000.00","$1,500.00",In-store
West Gear,1185732,03-01-2021 00:00,Midwest,Iowa,Des Moines,Women's Apparel,$30.00,250,"$7,500.00","$3,000.00",In-store
West Gear,1185732,03-02-2021 00:00,Midwest,Wisconsin,Milwaukee,Women's Apparel,$15.00,250,"$3,750.00","$1,500.00",In-store
West Gear,1185732,04-09-2021 00:00,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,$30.00,250,"$7,500.00","$2,625.00",In-store
West Gear,1185732,10-02-2021 00:00,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$25.00,250,"$6,250.00","$2,188.00",In-store
West Gear,1185732,10-10-2021 00:00,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,$35.00,250,"$8,750.00","$3,500.00",In-store
West Gear,1185732,17-04-2021 00:00,Northeast,West Virginia,Charleston,Men's Athletic Footwear,$30.00,250,"$7,500.00","$3,000.00",In-store
West Gear,1185732,17-04-2021 00:00,Northeast,West Virginia,Charleston,Women's Street Footwear,$20.00,250,"$5,000.00","$2,000.00",In-store
West Gear,1185732,18-09-2021 00:00,Northeast,West Virginia,Charleston,Women's Street Footwear,$25.00,250,"$6,250.00","$2,500.00",In-store
Kohl's,1185732,07-04-2021 00:00,Northeast,New Jersey,Newark,Women's Apparel,$35.00,250,"$8,750.00","$3,500.00",In-store
Sports Direct,1185732,05-02-2021 00:00,Northeast,New Jersey,Newark,Women's Street Footwear,$30.00,250,"$7,500.00","$2,250.00",In-store
Sports Direct,1185732,03-03-2021 00:00,Northeast,Connecticut,Hartford,Women's Street Footwear,$30.00,250,"$7,500.00","$2,250.00",In-store
Sports Direct,1185732,17-01-2021 00:00,Northeast,Rhode Island,Providence,Women's Street Footwear,$30.00,250,"$7,500.00","$1,875.00",In-store
Sports Direct,1185732,15-02-2021 00:00,Northeast,Massachusetts,Boston,Women's Athletic Footwear,$35.00,250,"$8,750.00","$2,188.00",In-store
Foot Locker,1185732,03-01-2020 00:00,Northeast,New York,New York,Women's Street Footwear,$36.00,250,"$9,000.00",$414.00,Online
Walmart,1197831,23-08-2020 00:00,South,Texas,Houston,Women's Apparel,$47.00,250,"$11,750.00",$752.00,Online
West Gear,1185732,09-08-2021 00:00,Northeast,New York,Albany,Men's Street Footwear,$62.00,250,"$15,500.00",$868.00,Online
Foot Locker,1197831,08-08-2021 00:00,West,Idaho,Boise,Women's Street Footwear,$46.00,250,"$11,500.00",$610.00,Online
Foot Locker,1185732,07-06-2021 00:00,Southeast,South Carolina,Charleston,Women's Apparel,$65.00,250,"$16,250.00","$1,040.00",Online
Sports Direct,1185732,02-09-2021 00:00,Southeast,North Carolina,Charlotte,Men's Street Footwear,$53.00,250,"$13,250.00",$689.00,Online
West Gear,1128299,07-01-2021 00:00,West,California,San Francisco,Men's Athletic Footwear,$63.00,248,"$15,624.00",$578.00,Online
West Gear,1128299,14-01-2021 00:00,West,California,San Francisco,Women's Street Footwear,$62.00,248,"$15,376.00",$707.00,Online
West Gear,1185732,24-04-2020 00:00,Southeast,Florida,Miami,Women's Apparel,$64.00,248,"$15,872.00","$1,016.00",Online
Sports Direct,1185732,24-05-2020 00:00,Southeast,Florida,Miami,Women's Street Footwear,$52.00,248,"$12,896.00",$477.00,Online
West Gear,1185732,09-04-2021 00:00,Northeast,New York,Albany,Men's Street Footwear,$42.00,248,"$10,416.00",$583.00,Online
West Gear,1128299,17-06-2021 00:00,South,Louisiana,New Orleans,Men's Street Footwear,$58.00,248,"$14,384.00",$734.00,Online
Foot Locker,1185732,09-01-2021 00:00,Southeast,Georgia,Atlanta,Women's Street Footwear,$29.00,248,"$7,192.00",$280.00,Online
Foot Locker,1185732,05-07-2021 00:00,Southeast,South Carolina,Charleston,Women's Street Footwear,$51.00,248,"$12,648.00",$455.00,Online
Foot Locker,1185732,22-01-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,$32.00,248,"$7,936.00",$302.00,Outlet
Walmart,1197831,12-09-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,$29.00,248,"$7,192.00",$280.00,Outlet
West Gear,1128299,02-11-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,$33.00,248,"$8,184.00",$188.00,Outlet
West Gear,1128299,20-01-2021 00:00,West,California,San Francisco,Women's Street Footwear,$51.00,248,"$12,648.00",$493.00,Outlet
West Gear,1128299,26-01-2021 00:00,West,California,San Francisco,Women's Street Footwear,$39.00,248,"$9,672.00",$329.00,Outlet
Kohl's,1189833,07-04-2021 00:00,West,California,Los Angeles,Men's Street Footwear,$31.00,248,"$7,688.00",$354.00,Outlet
Sports Direct,1197831,05-09-2021 00:00,South,Texas,Dallas,Men's Athletic Footwear,$22.00,248,"$5,456.00",$229.00,Outlet
Sports Direct,1197831,22-09-2021 00:00,South,Texas,Dallas,Men's Street Footwear,$34.00,248,"$8,432.00",$363.00,Outlet
Sports Direct,1197831,17-10-2021 00:00,South,Texas,Dallas,Men's Athletic Footwear,$39.00,248,"$9,672.00",$406.00,Outlet
Sports Direct,1197831,15-05-2021 00:00,South,Tennessee,Knoxville,Men's Street Footwear,$39.00,248,"$9,672.00",$464.00,Outlet
Sports Direct,1197831,07-10-2021 00:00,South,Alabama,Birmingham,Men's Athletic Footwear,$40.00,248,"$9,920.00",$526.00,Outlet
Walmart,1128299,17-06-2021 00:00,Southeast,Florida,Orlando,Women's Apparel,$74.00,248,"$18,352.00",$863.00,Outlet
Foot Locker,1128299,23-12-2021 00:00,Southeast,Virginia,Richmond,Men's Street Footwear,$49.00,248,"$12,152.00",$486.00,Outlet
West Gear,1185732,10-07-2021 00:00,West,Utah,Salt Lake City,Men's Street Footwear,$28.00,248,"$6,944.00",$299.00,Outlet
West Gear,1185732,11-08-2021 00:00,West,Utah,Salt Lake City,Men's Street Footwear,$27.00,248,"$6,696.00",$315.00,Outlet
West Gear,1128299,17-06-2021 00:00,South,Louisiana,New Orleans,Women's Apparel,$80.00,248,"$19,840.00",$813.00,Outlet
West Gear,1128299,16-07-2021 00:00,South,Louisiana,New Orleans,Men's Athletic Footwear,$67.00,248,"$16,616.00",$764.00,Outlet
West Gear,1128299,16-12-2021 00:00,South,Louisiana,New Orleans,Men's Athletic Footwear,$52.00,248,"$12,896.00",$567.00,Outlet
West Gear,1197831,04-06-2021 00:00,West,Idaho,Boise,Women's Apparel,$39.00,248,"$9,672.00",$532.00,Outlet
Kohl's,1128299,25-07-2021 00:00,West,New Mexico,Albuquerque,Men's Street Footwear,$41.00,248,"$10,168.00",$397.00,Outlet
Foot Locker,1185732,07-02-2021 00:00,Southeast,Georgia,Atlanta,Women's Street Footwear,$21.00,248,"$5,208.00",$156.00,Outlet
Foot Locker,1185732,04-01-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,$41.00,247,"$10,127.00",$466.00,Online
Foot Locker,1185732,27-01-2020 00:00,Northeast,New York,New York,Women's Street Footwear,$39.00,247,"$9,633.00",$472.00,Online
Foot Locker,1185732,12-03-2020 00:00,Northeast,New York,New York,Women's Street Footwear,$46.00,247,"$11,362.00",$511.00,Online
Walmart,1197831,25-10-2020 00:00,South,Texas,Houston,Women's Apparel,$51.00,247,"$12,597.00",$781.00,Online
Kohl's,1189833,08-05-2021 00:00,West,California,Los Angeles,Men's Athletic Footwear,$50.00,247,"$12,350.00",$457.00,Online
Foot Locker,1185732,11-08-2020 00:00,Southeast,Florida,Miami,Women's Apparel,$41.00,247,"$10,127.00",$628.00,Online
West Gear,1185732,08-07-2021 00:00,Northeast,New York,Albany,Men's Street Footwear,$59.00,247,"$14,573.00",$802.00,Online
Kohl's,1185732,12-06-2021 00:00,West,Wyoming,Cheyenne,Men's Street Footwear,$46.00,247,"$11,362.00",$716.00,Online
West Gear,1128299,09-11-2020 00:00,West,California,San Francisco,Women's Street Footwear,$40.00,247,"$9,880.00",$405.00,Outlet
West Gear,1128299,15-01-2021 00:00,West,California,San Francisco,Women's Athletic Footwear,$46.00,247,"$11,362.00",$409.00,Outlet
West Gear,1128299,27-01-2021 00:00,West,California,San Francisco,Women's Athletic Footwear,$39.00,247,"$9,633.00",$260.00,Outlet
West Gear,1128299,07-02-2021 00:00,West,California,San Francisco,Women's Street Footwear,$40.00,247,"$9,880.00",$336.00,Outlet
Sports Direct,1197831,03-04-2021 00:00,South,Tennessee,Knoxville,Men's Street Footwear,$12.00,247,"$2,964.00",$133.00,Outlet
West Gear,1197831,05-05-2021 00:00,West,Idaho,Boise,Men's Athletic Footwear,$22.00,247,"$5,434.00",$223.00,Outlet
Foot Locker,1185732,09-01-2021 00:00,Southeast,Georgia,Atlanta,Men's Apparel,$35.00,247,"$8,645.00",$337.00,Outlet
Foot Locker,1185732,07-02-2021 00:00,Southeast,Georgia,Atlanta,Men's Athletic Footwear,$27.00,247,"$6,669.00",$253.00,Outlet
Kohl's,1185732,10-03-2021 00:00,West,Wyoming,Cheyenne,Men's Street Footwear,$38.00,246,"$9,348.00",$561.00,Online
Kohl's,1185732,10-05-2021 00:00,West,Wyoming,Cheyenne,Men's Street Footwear,$45.00,246,"$11,070.00",$720.00,Online
Sports Direct,1185732,02-05-2021 00:00,Southeast,North Carolina,Charlotte,Men's Street Footwear,$41.00,246,"$10,086.00",$555.00,Online
Kohl's,1197831,20-11-2021 00:00,South,Oklahoma,Oklahoma City,Women's Street Footwear,$25.00,245,"$6,125.00","$2,450.00",Online
West Gear,1185732,03-11-2021 00:00,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$35.00,245,"$8,575.00","$2,573.00",In-store
Foot Locker,1185732,10-02-2020 00:00,Northeast,New York,New York,Men's Apparel,$59.00,245,"$14,455.00",$650.00,Online
West Gear,1128299,13-01-2021 00:00,West,California,San Francisco,Men's Athletic Footwear,$59.00,245,"$14,455.00",$491.00,Online
Sports Direct,1197831,05-09-2021 00:00,South,Alabama,Birmingham,Women's Apparel,$50.00,245,"$12,250.00",$882.00,Online
West Gear,1185732,08-12-2021 00:00,Northeast,New York,Albany,Men's Street Footwear,$59.00,245,"$14,455.00",$838.00,Online
Sports Direct,1185732,04-10-2021 00:00,Southeast,North Carolina,Charlotte,Men's Street Footwear,$42.00,245,"$10,290.00",$556.00,Online
Walmart,1197831,15-08-2020 00:00,South,Texas,Houston,Women's Athletic Footwear,$31.00,245,"$7,595.00",$387.00,Outlet
West Gear,1128299,24-12-2020 00:00,West,California,San Francisco,Women's Apparel,$41.00,245,"$10,045.00",$201.00,Outlet
West Gear,1128299,30-12-2020 00:00,West,California,San Francisco,Women's Apparel,$62.00,245,"$15,190.00",$289.00,Outlet
West Gear,1128299,15-02-2021 00:00,West,California,San Francisco,Men's Apparel,$43.00,245,"$10,535.00",$548.00,Outlet
West Gear,1128299,01-02-2020 00:00,West,Nevada,Las Vegas,Men's Street Footwear,$47.00,245,"$11,515.00",$576.00,Outlet
West Gear,1185732,16-09-2020 00:00,Southeast,Florida,Miami,Women's Apparel,$67.00,244,"$16,348.00","$1,063.00",Online
Sports Direct,1185732,05-10-2020 00:00,Southeast,Florida,Miami,Men's Street Footwear,$56.00,244,"$13,664.00",$793.00,Online
Foot Locker,1185732,05-07-2021 00:00,Southeast,South Carolina,Charleston,Women's Apparel,$66.00,244,"$16,104.00","$1,047.00",Online
Foot Locker,1185732,07-10-2021 00:00,Southeast,South Carolina,Charleston,Men's Street Footwear,$50.00,244,"$12,200.00",$732.00,Online
Sports Direct,1185732,02-12-2021 00:00,Southeast,North Carolina,Charlotte,Men's Street Footwear,$64.00,244,"$15,616.00",$796.00,Online
Foot Locker,1185732,23-01-2020 00:00,Northeast,New York,New York,Men's Apparel,$58.00,243,"$14,094.00",$606.00,Online
Foot Locker,1185732,13-03-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,$46.00,243,"$11,178.00",$514.00,Online
Walmart,1197831,21-10-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,$43.00,243,"$10,449.00",$512.00,Online
Kohl's,1189833,26-05-2021 00:00,West,California,Los Angeles,Men's Athletic Footwear,$50.00,243,"$12,150.00",$462.00,Online
Foot Locker,1185732,06-08-2021 00:00,Southeast,South Carolina,Charleston,Men's Athletic Footwear,$54.00,243,"$13,122.00",$643.00,Online
Foot Locker,1185732,31-03-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,$47.00,241,"$11,327.00",$532.00,Online
West Gear,1128299,24-01-2021 00:00,West,California,San Francisco,Men's Street Footwear,$51.00,241,"$12,291.00",$516.00,Online
West Gear,1197831,06-07-2021 00:00,West,Idaho,Boise,Women's Street Footwear,$46.00,241,"$11,086.00",$610.00,Online
Walmart,1197831,11-09-2020 00:00,South,Texas,Houston,Men's Street Footwear,$44.00,240,"$10,560.00",$528.00,Online
Kohl's,1189833,07-04-2021 00:00,West,California,Los Angeles,Men's Street Footwear,$43.00,240,"$10,320.00",$516.00,Online
Foot Locker,1185732,14-08-2020 00:00,Southeast,Florida,Miami,Women's Street Footwear,$32.00,240,"$7,680.00",$292.00,Online
Sports Direct,1197831,16-05-2021 00:00,South,Tennessee,Knoxville,Men's Athletic Footwear,$51.00,240,"$12,240.00",$673.00,Online
Sports Direct,1197831,11-09-2021 00:00,South,Alabama,Birmingham,Women's Apparel,$56.00,240,"$13,440.00","$1,075.00",Online
Foot Locker,1128299,24-08-2021 00:00,Southeast,Virginia,Richmond,Men's Street Footwear,$83.00,240,"$19,920.00",$896.00,Online
West Gear,1128299,16-12-2021 00:00,South,Louisiana,New Orleans,Men's Street Footwear,$69.00,240,"$16,560.00",$861.00,Online
Foot Locker,1185732,05-07-2021 00:00,Southeast,South Carolina,Charleston,Men's Apparel,$64.00,240,"$15,360.00",$691.00,Online
Foot Locker,1185732,28-01-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,$31.00,240,"$7,440.00",$298.00,Outlet
Walmart,1197831,14-08-2020 00:00,South,Texas,Houston,Women's Street Footwear,$23.00,240,"$5,520.00",$204.00,Outlet
West Gear,1128299,16-01-2021 00:00,West,California,San Francisco,Men's Apparel,$44.00,240,"$10,560.00",$591.00,Outlet
Kohl's,1189833,13-03-2021 00:00,West,California,Los Angeles,Men's Street Footwear,$28.00,240,"$6,720.00",$309.00,Outlet
Kohl's,1189833,13-04-2021 00:00,West,California,Los Angeles,Men's Street Footwear,$32.00,240,"$7,680.00",$361.00,Outlet
Kohl's,1189833,27-04-2021 00:00,West,California,Los Angeles,Women's Street Footwear,$33.00,240,"$7,920.00",$364.00,Outlet
Sports Direct,1197831,27-09-2021 00:00,South,Texas,Dallas,Women's Apparel,$43.00,240,"$10,320.00",$619.00,Outlet
Sports Direct,1197831,04-04-2021 00:00,South,Tennessee,Knoxville,Men's Athletic Footwear,$20.00,240,"$4,800.00",$211.00,Outlet
Sports Direct,1197831,10-04-2021 00:00,South,Tennessee,Knoxville,Men's Athletic Footwear,$32.00,240,"$7,680.00",$361.00,Outlet
Sports Direct,1197831,06-10-2021 00:00,South,Alabama,Birmingham,Men's Street Footwear,$46.00,240,"$11,040.00",$618.00,Outlet
Foot Locker,1128299,24-08-2021 00:00,Southeast,Virginia,Richmond,Men's Athletic Footwear,$53.00,240,"$12,720.00",$534.00,Outlet
West Gear,1128299,24-06-2021 00:00,West,Oregon,Portland,Men's Street Footwear,$43.00,240,"$10,320.00",$392.00,Outlet
West Gear,1197831,05-05-2021 00:00,West,Idaho,Boise,Women's Apparel,$33.00,240,"$7,920.00",$436.00,Outlet
Foot Locker,1197831,04-12-2021 00:00,West,Idaho,Boise,Men's Street Footwear,$40.00,240,"$9,600.00",$432.00,Outlet
Foot Locker,1197831,04-12-2021 00:00,West,Idaho,Boise,Men's Athletic Footwear,$41.00,240,"$9,840.00",$453.00,Outlet
Foot Locker,1185732,03-02-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,$41.00,239,"$9,799.00",$480.00,Online
West Gear,1128299,01-07-2020 00:00,West,Washington,Seattle,Men's Street Footwear,$73.00,239,"$17,447.00",$698.00,Online
West Gear,1128299,17-08-2021 00:00,South,Louisiana,New Orleans,Men's Athletic Footwear,$77.00,239,"$18,403.00",$939.00,Online
Foot Locker,1185732,09-01-2021 00:00,Southeast,Georgia,Atlanta,Women's Apparel,$37.00,239,"$8,843.00",$531.00,Online
West Gear,1128299,08-11-2020 00:00,West,California,San Francisco,Men's Athletic Footwear,$36.00,239,"$8,604.00",$215.00,Outlet
Sports Direct,1197831,18-10-2021 00:00,South,Texas,Dallas,Women's Street Footwear,$46.00,239,"$10,994.00",$484.00,Outlet
Sports Direct,1197831,08-08-2021 00:00,West,Idaho,Boise,Women's Apparel,$44.00,239,"$10,516.00",$641.00,Outlet
Foot Locker,1185732,30-01-2020 00:00,Northeast,New York,New York,Women's Apparel,$45.00,238,"$10,710.00",$375.00,Online
Foot Locker,1185732,05-02-2020 00:00,Northeast,New York,New York,Women's Apparel,$49.00,238,"$11,662.00",$431.00,Online
Walmart,1197831,18-08-2020 00:00,South,Texas,Houston,Men's Street Footwear,$39.00,238,"$9,282.00",$436.00,Online
Walmart,1197831,19-08-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,$42.00,238,"$9,996.00",$450.00,Online
Walmart,1197831,24-08-2020 00:00,South,Texas,Houston,Men's Street Footwear,$37.00,238,"$8,806.00",$396.00,Online
Walmart,1197831,25-08-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,$42.00,238,"$9,996.00",$460.00,Online
Walmart,1197831,26-10-2020 00:00,South,Texas,Houston,Men's Street Footwear,$41.00,238,"$9,758.00",$468.00,Online
Kohl's,1189833,25-04-2021 00:00,West,California,Los Angeles,Men's Street Footwear,$41.00,238,"$9,758.00",$498.00,Online
West Gear,1185732,08-09-2021 00:00,Northeast,New York,Albany,Men's Street Footwear,$50.00,238,"$11,900.00",$702.00,Online
Kohl's,1185732,12-02-2021 00:00,Northeast,New York,Albany,Men's Street Footwear,$37.00,238,"$8,806.00",$537.00,Online
Sports Direct,1185732,04-06-2021 00:00,Southeast,North Carolina,Charlotte,Men's Street Footwear,$46.00,238,"$10,948.00",$602.00,Online
Sports Direct,1197831,21-07-2020 00:00,Northeast,New York,New York,Women's Street Footwear,$27.00,238,"$6,426.00",$251.00,Outlet
Kohl's,1189833,24-05-2021 00:00,West,California,Los Angeles,Women's Apparel,$49.00,238,"$11,662.00",$280.00,Outlet
West Gear,1128299,13-02-2020 00:00,West,Nevada,Las Vegas,Men's Street Footwear,$44.00,238,"$10,472.00",$482.00,Outlet
Walmart,1128299,17-06-2021 00:00,Southeast,Florida,Orlando,Women's Street Footwear,$60.00,238,"$14,280.00",$471.00,Outlet
Walmart,1128299,16-07-2021 00:00,Southeast,Florida,Orlando,Women's Street Footwear,$72.00,238,"$17,136.00",$583.00,Outlet
Kohl's,1128299,25-12-2021 00:00,West,New Mexico,Albuquerque,Men's Street Footwear,$44.00,238,"$10,472.00",$440.00,Outlet
Foot Locker,1185732,16-05-2021 00:00,South,Mississippi,Jackson,Men's Street Footwear,$27.00,238,"$6,426.00",$270.00,Outlet
West Gear,1197831,19-12-2021 00:00,South,Arkansas,Little Rock,Men's Street Footwear,$55.00,238,"$13,090.00",$602.00,Outlet
West Gear,1197831,19-07-2021 00:00,South,Oklahoma,Oklahoma City,Men's Street Footwear,$43.00,238,"$10,234.00",$430.00,Outlet
Walmart,1185732,25-04-2020 00:00,Northeast,New York,New York,Men's Apparel,$64.00,236,"$15,104.00",$634.00,Online
Sports Direct,1197831,01-08-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,$39.00,236,"$9,204.00",$414.00,Online
West Gear,1128299,30-01-2021 00:00,West,California,San Francisco,Men's Street Footwear,$51.00,236,"$12,036.00",$542.00,Online
West Gear,1128299,06-02-2021 00:00,West,California,San Francisco,Men's Athletic Footwear,$58.00,236,"$13,688.00",$342.00,Online
Sports Direct,1197831,14-04-2021 00:00,South,Tennessee,Knoxville,Women's Apparel,$49.00,236,"$11,564.00",$752.00,Online
Sports Direct,1197831,27-07-2020 00:00,South,Texas,Houston,Women's Street Footwear,$27.00,236,"$6,372.00",$261.00,Outlet
Sports Direct,1197831,24-08-2021 00:00,South,Texas,Dallas,Men's Athletic Footwear,$31.00,236,"$7,316.00",$293.00,Outlet
Sports Direct,1197831,03-10-2021 00:00,South,Texas,Dallas,Women's Apparel,$33.00,236,"$7,788.00",$459.00,Outlet
Sports Direct,1197831,15-10-2021 00:00,South,Texas,Dallas,Women's Apparel,$51.00,236,"$12,036.00",$734.00,Outlet
Walmart,1197831,21-06-2021 00:00,South,Arkansas,Little Rock,Men's Street Footwear,$28.00,236,"$6,608.00",$291.00,Outlet
Foot Locker,1185732,05-01-2020 00:00,Northeast,New York,New York,Men's Apparel,$55.00,234,"$12,870.00",$515.00,Online
Foot Locker,1185732,01-02-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,$47.00,234,"$10,998.00",$451.00,Online
Sports Direct,1197831,19-07-2020 00:00,Northeast,New York,New York,Men's Street Footwear,$24.00,234,"$5,616.00",$264.00,Online
Sports Direct,1197831,06-08-2020 00:00,South,Texas,Houston,Men's Street Footwear,$27.00,234,"$6,318.00",$303.00,Online
Walmart,1197831,07-09-2020 00:00,South,Texas,Houston,Women's Street Footwear,$46.00,234,"$10,764.00",$527.00,Online
Walmart,1197831,20-10-2020 00:00,South,Texas,Houston,Men's Street Footwear,$43.00,234,"$10,062.00",$493.00,Online
West Gear,1185732,10-02-2021 00:00,Southeast,Florida,Orlando,Men's Street Footwear,$44.00,234,"$10,296.00",$566.00,Online
West Gear,1128299,06-11-2020 00:00,West,California,San Francisco,Women's Apparel,$49.00,233,"$11,417.00",$285.00,Online
West Gear,1128299,16-01-2021 00:00,West,California,San Francisco,Men's Apparel,$64.00,233,"$14,912.00",$954.00,Online
West Gear,1128299,17-01-2021 00:00,West,California,San Francisco,Women's Apparel,$72.00,233,"$16,776.00",$487.00,Online
West Gear,1128299,13-02-2021 00:00,West,California,San Francisco,Women's Street Footwear,$52.00,233,"$12,116.00",$485.00,Online
Sports Direct,1197831,27-09-2021 00:00,South,Texas,Dallas,Women's Apparel,$56.00,233,"$13,048.00",$913.00,Online
Sports Direct,1197831,21-10-2021 00:00,South,Texas,Dallas,Women's Apparel,$65.00,233,"$15,145.00","$1,000.00",Online
West Gear,1185732,09-09-2020 00:00,Southeast,Florida,Miami,Men's Apparel,$62.00,233,"$14,446.00",$708.00,Online
West Gear,1185732,14-09-2020 00:00,Southeast,Florida,Miami,Women's Athletic Footwear,$53.00,233,"$12,349.00",$531.00,Online
Foot Locker,1185732,20-09-2020 00:00,Southeast,Florida,Miami,Women's Athletic Footwear,$44.00,233,"$10,252.00",$410.00,Online
Sports Direct,1197831,21-04-2021 00:00,South,Tennessee,Knoxville,Men's Street Footwear,$41.00,233,"$9,553.00",$545.00,Online
Sports Direct,1197831,22-04-2021 00:00,South,Tennessee,Knoxville,Men's Athletic Footwear,$54.00,233,"$12,582.00",$717.00,Online
Sports Direct,1197831,06-10-2021 00:00,South,Alabama,Birmingham,Men's Street Footwear,$56.00,233,"$13,048.00",$822.00,Online
Foot Locker,1128299,24-06-2021 00:00,Southeast,Virginia,Richmond,Men's Street Footwear,$53.00,233,"$12,349.00",$580.00,Online
West Gear,1128299,24-08-2021 00:00,West,Oregon,Portland,Men's Athletic Footwear,$76.00,233,"$17,708.00",$868.00,Online
Foot Locker,1197831,04-12-2021 00:00,West,Idaho,Boise,Men's Street Footwear,$54.00,233,"$12,582.00",$679.00,Online
Foot Locker,1185732,06-08-2021 00:00,Southeast,South Carolina,Charleston,Women's Athletic Footwear,$44.00,233,"$10,252.00",$420.00,Online
Walmart,1197831,19-07-2021 00:00,South,Arkansas,Little Rock,Men's Street Footwear,$50.00,233,"$11,650.00",$583.00,Online
Walmart,1197831,16-09-2020 00:00,South,Texas,Houston,Women's Apparel,$43.00,233,"$10,019.00",$541.00,Outlet
West Gear,1128299,06-11-2020 00:00,West,California,San Francisco,Women's Apparel,$36.00,233,"$8,388.00",$176.00,Outlet
West Gear,1128299,01-01-2021 00:00,West,California,San Francisco,Men's Athletic Footwear,$51.00,233,"$11,883.00",$321.00,Outlet
Kohl's,1189833,21-04-2021 00:00,West,California,Los Angeles,Women's Street Footwear,$35.00,233,"$8,155.00",$343.00,Outlet
